cau_hinh,psnr,phan_du_cuoi,tong_buoc_noi,vi_pham_tv,giay,buoc_toi_muc_tieu,re_hon_moc
adaptive e0.5_p1.01,26.7965,5.793689e-03,426954,1.0000,801.9,210954,0.04x
adaptive e0.5_p1.05,26.7965,5.793411e-03,452016,1.0000,826.5,236016,0.04x
adaptive e0.5_p1.1,26.7965,5.793431e-03,475263,1.0000,856.3,259263,0.03x
adaptive e0.5_p1.5,26.7965,5.793655e-03,552725,1.0000,980.5,336725,0.03x
adaptive e1.0_p1.01,26.7972,5.861378e-03,250118,1.0000,473.3,54118,0.16x
adaptive e1.0_p1.05,26.7968,5.819547e-03,307716,1.0000,572.1,91716,0.09x
adaptive e1.0_p1.1,26.7966,5.798217e-03,360876,1.0000,663.5,144876,0.06x
adaptive e1.0_p1.5,26.7965,5.790927e-03,523095,1.0000,829.9,307095,0.03x
adaptive e2.0_p1.01,26.8037,6.611746e-03,1638,1.0000,32.1,862,9.85x
adaptive e2.0_p1.05,26.8002,6.171285e-03,27510,1.0000,59.4,1073,7.92x
adaptive e2.0_p1.1,26.7981,5.950137e-03,144156,1.0000,195.3,1773,4.79x
adaptive e2.0_p1.5,26.7964,5.783840e-03,475642,1.0000,564.6,259642,0.03x
adaptive e4.0_p1.01,26.8253,1.046734e-02,596,1.0000,31.4,570,14.90x
adaptive e4.0_p1.05,26.8188,8.914186e-03,713,1.0000,30.7,605,14.04x
adaptive e4.0_p1.1,26.8110,7.601188e-03,910,1.0000,32.1,691,12.29x
adaptive e4.0_p1.5,26.7962,5.771102e-03,399789,1.0000,483.3,183789,0.05x
exact_bound 0.02,26.8265,1.140973e-02,8503,1.0000,37.1,8494,1.00x
exact_bound 0.05,26.7905,3.134511e-02,3059,1.0000,28.7,khong dat,-
