k,resid
0,5.00000194e-02
1,5.93764819e-02
2,1.66666005e-02
3,1.24999629e-02
4,9.99996532e-03
5,8.33328348e-03
6,7.14282831e-03
7,6.24999311e-03
8,5.55563625e-03
9,5.00011444e-03
10,4.54547117e-03
11,4.16670600e-03
12,3.84613872e-03
13,3.57147469e-03
14,3.33331153e-03
15,3.12511297e-03
16,2.94123334e-03
17,2.77777505e-03
18,2.63154693e-03
19,2.50002090e-03
20,2.38097715e-03
21,2.27273069e-03
22,2.17377371e-03
23,2.08334043e-03
24,1.99997681e-03
25,1.92310940e-03
26,1.85188244e-03
27,1.78576750e-03
28,1.72417995e-03
29,1.66667881e-03
30,1.61281496e-03
31,1.56252238e-03
32,1.51520083e-03
33,1.47048279e-03
34,1.42857491e-03
35,1.38885365e-03
36,1.35126722e-03
37,1.31575519e-03
38,1.28213200e-03
39,1.25008554e-03
40,1.21952535e-03
41,1.19047356e-03
42,1.16274867e-03
43,1.13636628e-03
44,1.11112208e-03
45,1.08700560e-03
46,1.06388656e-03
47,1.04164309e-03
48,1.02044910e-03
49,9.99946496e-04
50,9.80390003e-04
51,9.61595681e-04
52,9.43337684e-04
53,9.26027365e-04
54,9.09018912e-04
55,8.92885611e-04
56,8.77218670e-04
57,8.62056855e-04
58,8.47424613e-04
59,8.33320490e-04
60,8.19712644e-04
61,8.06484080e-04
62,7.93639803e-04
63,7.81261071e-04
64,7.69168430e-04
65,7.57595641e-04
66,7.46189675e-04
67,7.35213980e-04
68,7.24659360e-04
69,7.14331225e-04
70,7.04200240e-04
71,6.94388291e-04
72,6.84978382e-04
73,6.75635005e-04
74,6.66637905e-04
75,6.57871133e-04
76,6.49345748e-04
77,6.41026883e-04
78,6.32846146e-04
79,6.24968030e-04
80,6.17288460e-04
81,6.09756389e-04
82,6.02471526e-04
83,5.95202553e-04
84,5.88131312e-04
85,5.81351109e-04
86,5.74751000e-04
87,5.68181800e-04
88,5.61638270e-04
89,5.55564766e-04
90,5.49461693e-04
91,5.43513976e-04
92,5.37630171e-04
93,5.31957077e-04
94,5.26366290e-04
95,5.20725327e-04
96,5.15343447e-04
97,5.10221580e-04
98,5.05043718e-04
99,5.00005961e-04
100,4.95088461e-04
101,4.90172009e-04
102,4.85456927e-04
103,4.80708433e-04
104,4.76191781e-04
105,4.71783045e-04
106,4.67336504e-04
107,4.62919852e-04
108,4.58714407e-04
109,4.54460329e-04
110,4.50460822e-04
111,4.46484599e-04
112,4.42476070e-04
113,4.38662479e-04
114,4.34773305e-04
115,4.31095250e-04
116,4.27431078e-04
117,4.23779275e-04
118,4.20157274e-04
119,4.16617724e-04
120,4.13225906e-04
121,4.09838074e-04
122,4.06522217e-04
123,4.03236161e-04
124,4.00017918e-04
125,3.96827789e-04
126,3.93611350e-04
127,3.90725210e-04
128,3.87555367e-04
129,3.84551764e-04
130,3.81705468e-04
131,3.78796394e-04
132,3.75890406e-04
133,3.73104471e-04
134,3.70371970e-04
135,3.67598608e-04
136,3.64974083e-04
137,3.62387567e-04
138,3.59807600e-04
139,3.57061013e-04
140,3.54648189e-04
141,3.52105824e-04
142,3.49576003e-04
143,3.47222463e-04
144,3.44825967e-04
145,3.42541345e-04
146,3.40124476e-04
147,3.37832287e-04
148,3.35641234e-04
149,3.33343109e-04
150,3.31151823e-04
151,3.29006580e-04
152,3.26764421e-04
153,3.24630149e-04
154,3.22563719e-04
155,3.20379797e-04
156,3.18495993e-04
157,3.16484307e-04
158,3.14440229e-04
159,3.12507036e-04
160,3.10456991e-04
161,3.08614544e-04
162,3.06729518e-04
163,3.04897694e-04
164,3.03007575e-04
165,3.01213702e-04
166,2.99423933e-04
167,2.97636347e-04
168,2.95851380e-04
169,2.94055702e-04
170,2.92433979e-04
171,2.90719909e-04
172,2.89021846e-04
173,2.87445757e-04
174,2.85633258e-04
175,2.84141133e-04
176,2.82359717e-04
177,2.80918088e-04
178,2.79277243e-04
179,2.77876126e-04
180,2.76216451e-04
181,2.74744845e-04
182,2.73145037e-04
183,2.71603465e-04
184,2.70272983e-04
185,2.68816628e-04
186,2.67344207e-04
187,2.65915180e-04
188,2.64602771e-04
189,2.63125927e-04
190,2.61679757e-04
191,2.60369328e-04
192,2.59036606e-04
193,2.57850916e-04
194,2.56375119e-04
195,2.55117804e-04
196,2.53809179e-04
197,2.52574595e-04
198,2.51183723e-04
199,2.50083162e-04
200,2.48680124e-04
201,2.47579825e-04
202,2.46317388e-04
203,2.45077768e-04
204,2.43840303e-04
205,2.42713082e-04
206,2.41495247e-04
207,2.40405323e-04
208,2.39265602e-04
209,2.38088396e-04
210,2.36996071e-04
211,2.35888408e-04
212,2.34740073e-04
213,2.33575644e-04
214,2.32634120e-04
215,2.31499595e-04
216,2.30457066e-04
217,2.29452955e-04
218,2.28225355e-04
219,2.27206125e-04
220,2.26249365e-04
221,2.25303302e-04
222,2.24325515e-04
223,2.23314724e-04
224,2.22166738e-04
225,2.21205773e-04
226,2.20339978e-04
227,2.19315625e-04
228,2.18338813e-04
229,2.17476030e-04
230,2.16277112e-04
231,2.15521301e-04
232,2.14642292e-04
233,2.13594030e-04
234,2.12863670e-04
235,2.11900100e-04
236,2.10909537e-04
237,2.10039405e-04
238,2.09280654e-04
239,2.08341618e-04
240,2.07414923e-04
241,2.06592493e-04
242,2.05752178e-04
243,2.04912198e-04
244,2.04107753e-04
245,2.03191797e-04
246,2.02406678e-04
247,2.01535106e-04
248,2.00742375e-04
249,1.99974849e-04
250,1.99232396e-04
251,1.98467955e-04
252,1.97709043e-04
253,1.96925161e-04
254,1.96012159e-04
255,1.95376313e-04
256,1.94604945e-04
257,1.93815053e-04
258,1.93148255e-04
259,1.92392821e-04
260,1.91596933e-04
261,1.90890365e-04
262,1.90237595e-04
263,1.89452723e-04
264,1.88757622e-04
265,1.87982034e-04
266,1.87246624e-04
267,1.86533493e-04
268,1.85894009e-04
269,1.85147743e-04
270,1.84474455e-04
271,1.83818775e-04
272,1.83161130e-04
273,1.82493823e-04
274,1.81780313e-04
275,1.81118419e-04
276,1.80463350e-04
277,1.79854862e-04
278,1.79264462e-04
279,1.78603572e-04
280,1.77983515e-04
281,1.77316819e-04
282,1.76686284e-04
283,1.76085188e-04
284,1.75464462e-04
285,1.74886765e-04
286,1.74215413e-04
287,1.73631706e-04
288,1.72911532e-04
289,1.72502900e-04
290,1.71829204e-04
291,1.71201798e-04
292,1.70624044e-04
293,1.69980485e-04
294,1.69617997e-04
295,1.68895873e-04
296,1.68241590e-04
297,1.67699705e-04
298,1.67288206e-04
299,1.66593993e-04
300,1.66101119e-04
301,1.65544523e-04
302,1.65044927e-04
303,1.64496654e-04
304,1.63818520e-04
305,1.63384815e-04
306,1.62820434e-04
307,1.62384866e-04
308,1.61835633e-04
309,1.61240794e-04
310,1.60764233e-04
311,1.60378826e-04
312,1.59689051e-04
313,1.59239455e-04
314,1.58594616e-04
315,1.58331313e-04
316,1.57682356e-04
317,1.57245144e-04
318,1.56865412e-04
319,1.56183552e-04
320,1.55712216e-04
321,1.55314323e-04
322,1.54778492e-04
323,1.54338137e-04
324,1.53969377e-04
325,1.53305067e-04
326,1.52800480e-04
327,1.52487119e-04
328,1.51989836e-04
329,1.51415748e-04
330,1.50991909e-04
331,1.50634049e-04
332,1.50109030e-04
333,1.49788262e-04
334,1.49299216e-04
335,1.48809719e-04
336,1.48373379e-04
337,1.47869301e-04
338,1.47463172e-04
339,1.46941049e-04
340,1.46646053e-04
341,1.46268037e-04
342,1.45837461e-04
343,1.45472237e-04
344,1.44807564e-04
345,1.44417849e-04
346,1.43927973e-04
347,1.43666897e-04
348,1.43308440e-04
349,1.42860677e-04
350,1.42583682e-04
351,1.42001489e-04
352,1.41655080e-04
353,1.41189797e-04
354,1.40796619e-04
355,1.40454329e-04
356,1.40027681e-04
357,1.39648371e-04
358,1.39334283e-04
359,1.38771007e-04
360,1.38451665e-04
361,1.38054704e-04
362,1.37739247e-04
363,1.37355775e-04
364,1.37029419e-04
365,1.36642120e-04
366,1.36253715e-04
367,1.35864262e-04
368,1.35383627e-04
369,1.35089693e-04
370,1.34807007e-04
371,1.34402799e-04
372,1.34033602e-04
373,1.33759968e-04
374,1.33342764e-04
375,1.32989517e-04
376,1.32653979e-04
377,1.32247995e-04
378,1.31843888e-04
379,1.31703157e-04
380,1.31289082e-04
381,1.30907792e-04
382,1.30534128e-04
383,1.30204717e-04
384,1.29799766e-04
385,1.29490523e-04
386,1.29287524e-04
387,1.28810032e-04
388,1.28454514e-04
389,1.28341984e-04
390,1.27850799e-04
391,1.27496925e-04
392,1.27308813e-04
393,1.26901796e-04
394,1.26607119e-04
395,1.26288418e-04
396,1.25967650e-04
397,1.25673367e-04
398,1.25319551e-04
399,1.25121034e-04
